
    Tick   Ticks   Modus   CPU/Tick   CPU/Max   CPU/Raum   CPU/Creep    Bucket-Ø   Bucket-Min   Räume   Creeps
82091047     100    full       8.64     15.79       0.96        0.19        6045         5522    9.00    46.10
82091147     100    full       9.33     19.29       1.04        0.19        7053         6566    9.00    49.04
82091247     100    full       9.79     18.52       1.09        0.20        7995         7541    9.00    48.30
82091347     100    full       9.14     15.01       1.02        0.19        8967         8475    9.00    47.43
82091447     100    full       8.54     18.38       0.95        0.18        5285            5    9.00    48.82
82091547     100    full       9.81     17.98       1.09        0.20         992          528    9.00    49.18
82091647     100    full       8.92     14.78       0.99        0.18        1954         1451    9.00    48.74
82091747     100    full       8.61     16.20       0.96        0.19        3004         2472    9.00    46.38
82091847     100    full       9.34     15.09       1.04        0.21        4000         3521    9.00    45.50
82091947     100    full       9.25     16.67       1.03        0.20        4971         4494    9.00    46.58
82092047     100    full       9.11     16.51       1.01        0.20        5972         5475    9.00    46.40
82092147     100    full      10.03     15.98       1.11        0.21        6919         6469    9.00    48.09
82092247     100    full       9.34     15.14       1.04        0.20        7853         7374    9.00    45.70
82092347     100    full       9.03     16.76       1.00        0.19        8837         8349    9.00    46.76
82092447     100    full       8.62     16.96       0.96        0.19        6557           10    9.00    45.97
82092547     100    full       8.66     15.18       0.96        0.20         896          382    9.00    43.83
82092647     100    full       8.43     18.44       0.94        0.19        1968         1428    9.00    43.38
82092747     100    full       8.60     14.91       0.96        0.20        3018         2496    9.00    43.72
82092847     100    full       8.51     16.70       0.95        0.19        4068         3549    9.00    44.51
82092947     100    full       8.91     16.25       0.99        0.19        5112         4604    9.00    46.55
82093047     100    full       9.41     16.28       1.05        0.20        6113         5627    9.00    46.35
82093147     100    full       8.85     16.16       0.98        0.19        7097         6600    9.00    45.64
82093247     100    full       8.72     17.42       0.97        0.19        8155         7627    9.00    46.05
82093347     100    full       9.74     16.13       1.08        0.21        9130         8667    9.00    46.82
82093447     100    full       9.05     15.91       1.01        0.20        4582           11    9.00    46.30
82093547     100    full       8.67     14.60       0.96        0.20        1096          593    9.00    44.21
82093647     100    full       9.34     16.80       1.04        0.21        2136         1631    9.00    44.90
82093747     100    full       9.66     17.06       1.07        0.21        3070         2606    9.00    45.97
82093847     100    full       9.04     16.12       1.00        0.21        4040         3545    9.00    43.72
82093947     100    full       8.94     16.60       0.99        0.20        5055         4552    9.00    43.99
82094047     100    full       8.86     16.52       0.98        0.20        6078         5573    9.00    43.67
82094147     100    full       8.21     14.77       0.91        0.19        7136         6603    9.00    42.92
82094247     100    full       8.46     15.46       0.94        0.19        8223         7689    9.00    45.07
82094347     100    full       8.98     15.42       1.00        0.20        9263         8751    9.00    45.37
82094447     100    full       8.24     14.50       0.92        0.18        2888           13    9.00    45.83
82094547     100    full       9.30     17.77       1.03        0.20        1335          837    9.00    46.79
82094647     100    full       9.40     15.66       1.04        0.19        2297         1822    9.00    48.39
82094747     100    full       8.89     15.13       0.99        0.18        3298         2793    9.00    48.57
82094847     100    full       9.38     15.34       1.04        0.19        4299         3812    9.00    48.29
82094947     100    full       8.95     15.55       0.99        0.19        5286         4784    9.00    47.95
82095047     100    full       9.59     19.84       1.07        0.19        6261         5801    9.00    50.43
82095147     100    full       9.83     19.47       1.09        0.20        7220         6753    9.00    48.62
82095247     100    full       9.65     19.65       1.07        0.19        8140         7679    9.00    49.58
82095347     100    full       9.76     17.15       1.08        0.20        9077         8621    9.00    49.53
82095447     100    full       9.14     14.76       1.02        0.18        5214           10    9.00    50.14
82095547     100    full       9.48     16.61       1.05        0.19         994          520    9.00    49.99
82095647     100    full       9.27     17.19       1.03        0.19        1976         1481    9.00    49.96
82095747     100    full       9.29     16.16       1.03        0.19        2953         2461    9.00    48.31
